"AWL_ID","EVENT_ID","RACE_CODE","SCALLOP_NUMBER","WHOLE_WT_GRAMS","SHELL_WORM_SW","SHELL_HEIGHT_MM","SEX_SW","SCAL_GONAD_COND","MUD_BLISTER_SW","AGE_STRUCTURE_COLLECTED","MEAT_CONDITION_SW","MEAT_WEIGHT_GRAMS","CLAPPER","D1_SW","D2_SW","D3_SW","CRAB_NUM","BIOLOGICAL_WIDTH_MM","SHELL_CONDITION_SW","CONDITION_SW","SAMPLE_TYPE","SAMPLER","BASKET_ID"
129876,"2016D02001","74120","1",81.000000,"0",104.000000,"0","0","0","1","0",7.000000,"","1",,,,,,,"1","MDS",
129877,"2016D02001","74120","2",93.000000,"0",103.000000,"2","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129878,"2016D02001","74120","3",151.000000,"0",136.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129879,"2016D02001","74120","4",151.000000,"0",127.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129880,"2016D02001","74120","5",188.000000,"0",134.000000,"1","3","0","1","0",20.000000,"","1",,,,,,,"1","MDS",
129881,"2016D02001","74120","6",151.000000,"0",119.000000,"2","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
129882,"2016D02001","74120","7",111.000000,"0",105.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129883,"2016D02001","74120","8",194.000000,"0",133.000000,"1","0","0","1","0",19.000000,"","1",,,,,,,"1","MDS",
129884,"2016D02001","74120","9",145.000000,"0",124.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129885,"2016D02001","74120","10",165.000000,"0",129.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129886,"2016D02001","74120","11",,"0",35.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129887,"2016D02001","74120","12",,"0",37.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129888,"2016D02002","74120","1",162.000000,"0",140.000000,"1","2","0","1","0",19.000000,"","0",,,,,,,"1","MDS",
129889,"2016D02003","74120","1",83.000000,"0",108.000000,"1","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129890,"2016D02003","74120","2",161.000000,"1",132.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129891,"2016D02003","74120","3",128.000000,"0",116.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129892,"2016D02003","74120","4",155.000000,"0",128.000000,"2","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
129893,"2016D02003","74120","5",218.000000,"0",129.000000,"2","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
129894,"2016D02003","74120","6",168.000000,"0",127.000000,"2","3","0","1","0",18.000000,"","0",,,,,,,"1","MDS",
129895,"2016D02003","74120","7",201.000000,"0",133.000000,"1","3","0","1","0",18.000000,"","0",,,,,,,"1","MDS",
129896,"2016D02003","74120","8",168.000000,"0",118.000000,"2","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129897,"2016D02003","74120","9",157.000000,"0",,"1","3","0","1","0",14.000000,"","1",,,,,,,"1","MDS",
129898,"2016D02003","74120","10",165.000000,"0",127.000000,"2","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
129899,"2016D02004","74120","1",131.000000,"0",110.000000,"1","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129900,"2016D02004","74120","2",158.000000,"0",119.000000,"2","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129901,"2016D02004","74120","3",128.000000,"0",110.000000,"2","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
129902,"2016D02004","74120","4",138.000000,"0",109.000000,"1","3","0","1","0",10.000000,"","0",,,,,,,"1","MDS",
129903,"2016D02004","74120","5",85.000000,"0",98.000000,"2","3","0","1","0",12.000000,"","0",,,,,,,"1","MDS",
129904,"2016D02004","74120","6",157.000000,"0",122.000000,"2","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129905,"2016D02004","74120","7",128.000000,"0",112.000000,"1","3","0","1","0",12.000000,"","0",,,,,,,"1","MDS",
129906,"2016D02004","74120","8",111.000000,"0",111.000000,"1","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129907,"2016D02004","74120","9",132.000000,"1",111.000000,"1","3","0","1","0",12.000000,"","0",,,,,,,"1","MDS",
129908,"2016D02004","74120","10",94.000000,"0",101.000000,"1","3","0","1","0",8.000000,"","0",,,,,,,"1","MDS",
129909,"2016D02004","74120","11",,"0",46.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129910,"2016D02004","74120","12",,"0",53.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129911,"2016D02004","74120","13",,"0",58.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129912,"2016D02004","74120","14",,"0",57.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129913,"2016D02004","74120","15",,"0",53.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129914,"2016D02004","74120","16",,"0",64.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129915,"2016D02004","74120","17",,"0",98.000000,"1","3","0","1","0",,"","0",,,,,,,"1","MDS",
129916,"2016D02004","74120","18",,"0",92.000000,"2","3","0","1","0",,"","0",,,,,,,"1","MDS",
129917,"2016D02004","74120","19",,"0",86.000000,"1","3","0","1","0",,"","0",,,,,,,"1","MDS",
129918,"2016D02004","74120","20",,"0",76.000000,"2","3","0","1","0",,"","0",,,,,,,"1","MDS",
129919,"2016D02005","74120","1",231.000000,"1",137.000000,"1","3","0","1","0",19.000000,"","0",,,,,,,"1","MDS",
129920,"2016D02005","74120","2",152.000000,"0",118.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129921,"2016D02005","74120","3",174.000000,"0",126.000000,"1","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
129922,"2016D02005","74120","4",139.000000,"0",115.000000,"1","3","0","1","0",10.000000,"","0",,,,,,,"1","MDS",
129923,"2016D02005","74120","5",115.000000,"0",113.000000,"1","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129924,"2016D02005","74120","6",166.000000,"0",124.000000,"2","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
129925,"2016D02005","74120","7",149.000000,"0",116.000000,"1","3","0","1","0",14.000000,"","3",,,,,,,"1","MDS",
129926,"2016D02005","74120","8",160.000000,"0",118.000000,"2","3","0","1","0",12.000000,"","0",,,,,,,"1","MDS",
129927,"2016D02005","74120","9",150.000000,"0",115.000000,"2","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129928,"2016D02005","74120","10",129.000000,"1",114.000000,"2","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129929,"2016D02005","74120","11",,"0",61.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129930,"2016D02005","74120","12",,"0",63.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129931,"2016D02005","74120","13",,"0",43.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129932,"2016D02005","74120","14",,"0",,"0","0","0","1","0",,"","3",,,,,,,"1","MDS",
129933,"2016D02005","74120","15",,"0",39.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129934,"2016D02005","74120","16",,"0",43.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129935,"2016D02005","74120","17",,"0",38.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129936,"2016D02005","74120","18",,"0",37.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129937,"2016D02005","74120","19",,"0",32.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129938,"2016D02005","74120","20",,"0",35.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129939,"2016D02006","74120","1",210.000000,"0",135.000000,"1","3","0","1","0",16.000000,"","3",,,,,,,"1","MDS",
129940,"2016D02006","74120","2",190.000000,"1",134.000000,"1","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
129941,"2016D02006","74120","3",150.000000,"0",117.000000,"1","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129942,"2016D02006","74120","4",162.000000,"1",119.000000,"2","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
129943,"2016D02006","74120","5",253.000000,"0",144.000000,"2","3","0","1","0",20.000000,"","0",,,,,,,"1","MDS",
129944,"2016D02006","74120","6",174.000000,"0",128.000000,"2","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
129945,"2016D02006","74120","7",266.000000,"1",141.000000,"2","3","0","1","0",18.000000,"","0",,,,,,,"1","MDS",
129946,"2016D02006","74120","8",203.000000,"0",133.000000,"2","3","0","1","0",18.000000,"","0",,,,,,,"1","MDS",
129947,"2016D02006","74120","9",145.000000,"1",,"2","3","0","1","0",15.000000,"","3",,,,,,,"1","MDS",
129948,"2016D02006","74120","10",221.000000,"1",127.000000,"1","3","0","1","0",21.000000,"","0",,,,,,,"1","MDS",
129949,"2016D02006","74120","11",,"0",34.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129950,"2016D02006","74120","12",,"0",38.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129951,"2016D02007","74120","1",210.000000,"0",136.000000,"2","3","0","1","0",19.000000,"","0",,,,,,,"1","MDS",
129952,"2016D02007","74120","2",252.000000,"1",136.000000,"2","3","0","1","0",20.000000,"","0",,,,,,,"1","MDS",
129953,"2016D02007","74120","3",139.000000,"0",121.000000,"1","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
129954,"2016D02007","74120","4",216.000000,"1",135.000000,"1","3","0","1","0",18.000000,"","0",,,,,,,"1","MDS",
129955,"2016D02007","74120","5",226.000000,"1",139.000000,"2","3","0","1","0",21.000000,"","0",,,,,,,"1","MDS",
129956,"2016D02007","74120","6",255.000000,"0",139.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129957,"2016D02007","74120","7",175.000000,"0",,"2","4","0","1","0",16.000000,"","3",,,,,,,"1","MDS",
129958,"2016D02007","74120","8",275.000000,"1",137.000000,"1","3","0","1","0",20.000000,"","0",,,,,,,"1","MDS",
129959,"2016D02007","74120","9",222.000000,"1",143.000000,"2","3","0","1","0",20.000000,"","0",,,,,,,"1","MDS",
129960,"2016D02007","74120","10",121.000000,"0",113.000000,"2","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129961,"2016D02007","74120","11",,"0",42.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129962,"2016D02007","74120","12",,"0",38.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129963,"2016D02007","74120","13",,"0",41.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129964,"2016D02008","74120","1",180.000000,"0",120.000000,"2","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
129965,"2016D02008","74120","2",192.000000,"0",122.000000,"1","3","0","1","0",30.000000,"","0",,,,,,,"1","MDS",
129966,"2016D02008","74120","3",153.000000,"0",128.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129967,"2016D02008","74120","4",180.000000,"0",122.000000,"2","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129968,"2016D02008","74120","5",115.000000,"0",113.000000,"2","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129969,"2016D02008","74120","6",173.000000,"0",127.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
129970,"2016D02008","74120","7",226.000000,"0",135.000000,"2","3","0","1","0",20.000000,"","0",,,,,,,"1","MDS",
129971,"2016D02008","74120","8",243.000000,"0",130.000000,"2","3","0","1","0",20.000000,"","0",,,,,,,"1","MDS",
129972,"2016D02008","74120","9",179.000000,"0",127.000000,"2","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
129973,"2016D02008","74120","10",136.000000,"0",117.000000,"2","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129974,"2016D02008","74120","11",,"0",68.000000,"1","3","0","1","0",,"","0",,,,,,,"1","MDS",
129975,"2016D02008","74120","12",,"0",61.000000,"1","2","0","1","0",,"","0",,,,,,,"1","MDS",
129976,"2016D02008","74120","13",,"0",59.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129977,"2016D02008","74120","14",,"0",57.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129978,"2016D02008","74120","15",,"0",37.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129979,"2016D02008","74120","16",,"0",35.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129980,"2016D02008","74120","17",,"0",43.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129981,"2016D02008","74120","18",,"0",35.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129982,"2016D02008","74120","19",,"0",32.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129983,"2016D02008","74120","20",,"0",35.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
129984,"2016D02009","74120","1",185.000000,"0",123.000000,"2","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
129985,"2016D02009","74120","2",169.000000,"0",129.000000,"1","3","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
129986,"2016D02009","74120","3",182.000000,"0",119.000000,"1","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
129987,"2016D02009","74120","4",90.000000,"0",101.000000,"1","3","0","1","0",6.000000,"","0",,,,,,,"1","MDS",
129988,"2016D02009","74120","5",47.000000,"0",123.000000,"2","3","0","1","0",10.000000,"","0",,,,,,,"1","MDS",
129989,"2016D02009","74120","6",128.000000,"0",116.000000,"2","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129990,"2016D02009","74120","7",160.000000,"0",122.000000,"1","3","0","1","0",12.000000,"","0",,,,,,,"1","MDS",
129991,"2016D02009","74120","8",127.000000,"0",118.000000,"1","3","0","1","0",9.000000,"","0",,,,,,,"1","MDS",
129992,"2016D02009","74120","9",138.000000,"0",117.000000,"1","3","0","1","0",8.000000,"","0",,,,,,,"1","MDS",
129993,"2016D02009","74120","10",129.000000,"0",118.000000,"1","3","0","1","0",10.000000,"","0",,,,,,,"1","MDS",
129994,"2016D02009","74120","11",,"0",99.000000,"1","3","0","1","0",,"","0",,,,,,,"1","MDS",
129995,"2016D02009","74120","12",,"0",100.000000,"2","3","0","1","0",,"","0",,,,,,,"1","MDS",
129996,"2016D02009","74120","13",,"0",92.000000,"2","3","0","1","0",,"","0",,,,,,,"1","MDS",
129997,"2016D02009","74120","14",,"0",92.000000,"1","3","0","1","0",,"","0",,,,,,,"1","MDS",
129998,"2016D02009","74120","15",,"0",76.000000,"2","3","0","1","0",,"","0",,,,,,,"1","MDS",
129999,"2016D02009","74120","16",,"0",52.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130000,"2016D02009","74120","17",,"0",55.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130001,"2016D02009","74120","18",,"0",58.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130002,"2016D02009","74120","19",,"0",33.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130003,"2016D02010","74120","1",222.000000,"0",129.000000,"2","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
130004,"2016D02010","74120","2",112.000000,"0",110.000000,"2","1","1","1","0",9.000000,"","0",,,,,,,"1","MDS",
130005,"2016D02010","74120","3",143.000000,"1",115.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
130006,"2016D02010","74120","4",155.000000,"0",119.000000,"1","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
130007,"2016D02010","74120","5",188.000000,"0",130.000000,"2","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
130008,"2016D02010","74120","6",131.000000,"0",123.000000,"1","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
130009,"2016D02010","74120","7",133.000000,"0",120.000000,"2","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
130010,"2016D02010","74120","8",143.000000,"0",117.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
130011,"2016D02010","74120","9",142.000000,"0",116.000000,"2","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
130012,"2016D02010","74120","10",155.000000,"0",120.000000,"2","3","0","1","0",10.000000,"","0",,,,,,,"1","MDS",
130013,"2016D02010","74120","11",,"0",97.000000,"2","3","0","1","0",,"","0",,,,,,,"1","MDS",
130014,"2016D02010","74120","12",,"0",88.000000,"1","3","0","1","0",,"","0",,,,,,,"1","MDS",
130015,"2016D02010","74120","13",,"0",52.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130016,"2016D02010","74120","14",,"0",28.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130017,"2016D02010","74120","15",,"0",40.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130018,"2016D02010","74120","16",,"0",57.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130019,"2016D02010","74120","17",,"0",27.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130020,"2016D02010","74120","18",,"0",31.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130021,"2016D02010","74120","19",,"0",31.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130022,"2016D02010","74120","20",,"0",33.000000,"0","0","0","1","0",,"","0",,,,,,,"1","MDS",
130023,"2016D02011","74120","1",246.000000,"1",139.000000,"1","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
130024,"2016D02011","74120","2",228.000000,"1",144.000000,"1","1","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
130025,"2016D02011","74120","3",150.000000,"0",132.000000,"1","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
130026,"2016D02011","74120","4",235.000000,"1",139.000000,"1","3","0","1","0",16.000000,"","3",,,,,,,"1","MDS",
130027,"2016D02011","74120","5",166.000000,"0",137.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
130028,"2016D02011","74120","6",197.000000,"1",149.000000,"1","2","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
130029,"2016D02011","74120","7",259.000000,"0",141.000000,"1","3","0","1","0",15.000000,"","0",,,,,,,"1","MDS",
130030,"2016D02011","74120","8",206.000000,"0",139.000000,"1","2","0","1","0",11.000000,"","0",,,,,,,"1","MDS",
130031,"2016D02011","74120","9",197.000000,"0",139.000000,"1","2","1","1","0",14.000000,"","0",,,,,,,"1","MDS",
130032,"2016D02011","74120","10",252.000000,"1",144.000000,"2","2","1","1","0",16.000000,"","0",,,,,,,"1","MDS",
130033,"2016D02011","74120","11",,"0",35.000000,"0","1","0","1","0",,"","0",,,,,,,"1","MDS",
130034,"2016D02013","74120","1",184.000000,"0",127.000000,"1","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
130035,"2016D02013","74120","2",174.000000,"0",132.000000,"1","3","0","1","0",16.000000,"","0",,,,,,,"1","MDS",
130036,"2016D02013","74120","3",143.000000,"0",128.000000,"2","3","0","1","0",14.000000,"","0",,,,,,,"1","MDS",
130037,"2016D02013","74120","4",175.000000,"0",131.000000,"2","3","0","1","0",17.000000,"","0",,,,,,,"1","MDS",
130038,"2016D02013","74120","5",124.000000,"0",140.000000,"0","1","0","1","0",8.000000,"","0",,,,,,,"1","MDS",
130039,"2016D02013","74120","6",131.000000,"0",118.000000,"1","3","0","1","0",13.000000,"","2",,,,,,,"1","MDS",
130040,"2016D02014","74120","1",154.000000,"0",126.000000,"1","3","0","1","0",12.000000,"","0",,,,,,,"1","MDS",
130041,"2016D02014","74120","2",189.000000,"0",136.000000,"1","3","0","1","0",13.000000,"","0",,,,,,,"1","MDS",
