Bed code,Haul number,Sampler name,Species code,Size class,Scallop number,Sex,Gonad condition,Shell height (mm),First annulus height (mm),Field age,Mud blister code,Worm code,Shell damage code(s),Whole scallop weight (including epibionts),Meat condition,Meat weight,Epibiont weight,
EK1,38,MDS,74120,2,11,0,0,19,19,1,0,0,0,0.000,0.0,,,
EK1,45,MDS,74120,2,11,0,0,20,20,1,0,0,0,0.000,0.0,,,
WK1,10,MDS,74120,2,17,0,0,27,27,1,0,0,0,,,,,
WK1,10,MDS,74120,2,14,0,0,28,22,1,0,0,0,,,,,
WK1,10,MDS,74120,2,18,0,0,31,31,1,0,0,0,,,,,
WK1,10,MDS,74120,2,19,0,0,31,31,1,0,0,0,,,,,
WK1,8,MDS,74120,2,19,0,0,32,29,1,0,0,0,,,,,
WK1,5,MDS,74120,2,19,0,0,32,27,1,0,0,0,,,,,
WK1,9,MDS,74120,2,19,0,0,33,33,1,0,0,0,,,,,
WK1,10,MDS,74120,2,20,0,0,33,33,1,0,0,0,,,,,
WK1,6,MDS,74120,2,11,0,0,34,31,1,0,0,0,,,,,
WK1,1,MDS,74120,2,1,0,0,35,35,1,0,0,,,0.0,,,
WK1,5,MDS,74120,2,20,0,0,35,31,1,0,0,0,,,,,
WK1,8,MDS,74120,2,16,0,0,35,31,1,0,0,0,,,,,
WK1,8,MDS,74120,2,18,0,0,35,31,1,0,0,0,,,,,
WK1,11,MDS,74120,2,11,0,1,35,26,1,0,0,0,,0.0,,,
WK1,1,MDS,74120,2,2,0,0,37,28,1,0,0,,,0.0,,,
WK1,5,MDS,74120,2,18,0,0,37,24,1,0,0,0,,,,,
WK1,8,MDS,74120,2,15,0,0,37,21,1,0,0,0,,,,,
WK1,6,MDS,74120,2,12,0,0,38,35,1,0,0,0,,,,,
WK1,7,MDS,74120,2,12,0,0,38,35,1,0,0,0,,,,,
WK1,5,MDS,74120,2,17,0,0,38,32,1,0,0,0,,,,,
WK1,5,MDS,74120,2,15,0,0,39,33,1,0,0,0,,,,,
WK1,10,MDS,74120,2,15,0,0,40,27,1,0,0,0,,,,,1
WK1,7,MDS,74120,2,13,0,0,41,20,1,0,0,0,,,,,
WK1,7,MDS,74120,2,11,0,0,42,25,1,0,0,0,,,,,
WK1,5,MDS,74120,2,16,0,0,43,30,1,0,0,0,,,,,
WK1,8,MDS,74120,2,17,0,0,43,24,1,0,0,0,,,,,
WK1,5,MDS,74120,2,13,0,0,43,21,1,0,0,0,,,,,
WK1,4,MDS,74120,2,11,0,0,46,31,1,0,0,0,,,,,
EK1,36,MDS,74120,2,11,0,0,48,28,1,0,0,0,,0.0,,,
WK1,10,MDS,74120,2,13,0,0,52,34,1,0,0,0,,,,,
WK1,4,MDS,74120,2,12,0,0,53,35,1,0,0,0,,,,,
WK1,10,MDS,74120,2,16,0,0,57,23,1,0,0,0,,,,,
WK1,14,MDS,74120,2,8,0,0,,,1,0,0,0,,0.0,,,
WK1,5,MDS,74120,2,14,0,0,,34,1,0,0,3,,,,,
WK1,9,MDS,74120,2,16,0,0,52,21,2,0,0,0,,,,,
WK1,4,MDS,74120,2,15,0,0,53,25,2,0,0,0,,,,,
WK1,9,MDS,74120,2,17,0,0,55,26,2,0,0,0,,,,,
WK1,8,MDS,74120,2,14,0,0,57,26,2,0,0,0,,,,,
WK1,4,MDS,74120,2,14,0,0,57,23,2,0,0,0,,,,,
WK1,4,MDS,74120,2,13,0,0,58,38,2,0,0,0,,,,,
WK1,9,MDS,74120,2,18,0,0,58,29,2,0,0,0,,,,,
WK1,8,MDS,74120,2,13,0,0,59,23,2,0,0,0,,,,,
WK1,5,MDS,74120,2,11,0,0,61,26,2,0,0,0,,,,,
WK1,8,MDS,74120,2,12,1,2,61,26,2,0,0,0,,,,,
WK1,5,MDS,74120,2,12,0,0,63,27,2,0,0,0,,,,,
WK1,4,MDS,74120,2,16,0,0,64,28,2,0,0,0,,,,,
WK1,8,MDS,74120,2,11,1,3,68,31,2,0,0,0,,,,,
WK1,9,MDS,74120,2,15,2,3,76,36,2,0,0,0,,,,,
WK1,4,MDS,74120,2,20,2,3,76,26,2,0,0,0,,,,,
EK1,19,MDS,74120,2,11,2,3,85,28,3,0,0,0,,0.0,,,
